game_id,player_count,seat,character,score,is_winner,total_steps
214,2,1,pendingin,0,0.5,47
215,2,0,baja,17,1,53
215,2,1,hemat,10,0,53
216,2,0,kompor,0,0.5,37
216,2,1,rakus,0,0.5,37
217,2,0,rakus,62,1,39
217,2,1,kompor,5,0,39
218,2,0,rakus,0,0,40
218,2,1,perisai,5,1,40
219,2,0,baja,11,1,38
219,2,1,rakus,10,0,38
220,2,0,kompor,0,0,42
220,2,1,rakus,10,1,42
221,2,0,pendingin,28,1,42
221,2,1,kompor,0,0,42
222,2,0,pendingin,0,0,52
222,2,1,baja,24,1,52
223,2,0,baja,5,0.5,42
223,2,1,pendingin,5,0.5,42
224,2,0,hemat,4,0,49
224,2,1,rakus,186,1,49
225,2,0,perisai,5,1,39
225,2,1,pendingin,0,0,39
226,2,0,perisai,0,0,47
226,2,1,hemat,10,1,47
227,2,0,hemat,5,0,54
227,2,1,baja,6,1,54
228,2,0,pendingin,9,1,58
228,2,1,hemat,0,0,58
229,2,0,hemat,0,0,54
229,2,1,baja,11,1,54
230,2,0,kompor,5,1,45
230,2,1,rakus,0,0,45
231,2,0,pendingin,0,0,56
231,2,1,hemat,10,1,56
232,2,0,hemat,5,0.5,58
232,2,1,kompor,5,0.5,58
233,2,0,rakus,7,1,43
233,2,1,baja,0,0,43
234,2,0,perisai,0,0.5,59
234,2,1,hemat,0,0.5,59
235,2,0,kompor,10,1,44
235,2,1,perisai,0,0,44
236,2,0,hemat,0,0,49
236,2,1,perisai,10,1,49
237,2,0,kompor,2,0,39
237,2,1,rakus,4,1,39
238,2,0,perisai,61,1,48
238,2,1,rakus,5,0,48
239,2,0,baja,0,0.5,46
239,2,1,pendingin,0,0.5,46
240,2,0,kompor,0,0.5,47
240,2,1,perisai,0,0.5,47
241,2,0,hemat,0,0.5,53
241,2,1,pendingin,0,0.5,53
242,2,0,rakus,101,1,49
242,2,1,hemat,10,0,49
243,2,0,kompor,0,0,37
243,2,1,perisai,5,1,37
244,2,0,hemat,0,0,48
244,2,1,rakus,5,1,48
245,2,0,pendingin,5,1,43
245,2,1,kompor,0,0,43
246,2,0,kompor,212,1,47
246,2,1,perisai,7,0,47
247,2,0,pendingin,40,1,56
247,2,1,baja,16,0,56
248,2,0,baja,25,1,45
248,2,1,perisai,10,0,45
249,2,0,hemat,0,0.5,49
249,2,1,pendingin,0,0.5,49
250,2,0,hemat,5,1,55
250,2,1,pendingin,0,0,55
251,2,0,pendingin,0,0.5,47
251,2,1,hemat,0,0.5,47
252,2,0,baja,4,0,56
252,2,1,hemat,5,1,56
253,2,0,hemat,5,0.5,46
253,2,1,kompor,5,0.5,46
254,2,0,kompor,0,0.5,39
254,2,1,pendingin,0,0.5,39
255,2,0,kompor,5,1,43
255,2,1,perisai,0,0,43
256,2,0,rakus,5,1,41
256,2,1,perisai,0,0,41
257,2,0,hemat,0,0.5,49
257,2,1,kompor,0,0.5,49
258,2,0,perisai,0,0.5,40
258,2,1,pendingin,0,0.5,40
259,2,0,pendingin,6,1,63
259,2,1,hemat,0,0,63
260,2,0,baja,7,0,44
260,2,1,rakus,53,1,44
261,2,0,hemat,55,1,55
261,2,1,rakus,0,0,55
262,2,0,kompor,0,0.5,46
262,2,1,pendingin,0,0.5,46
263,2,0,pendingin,5,1,44
263,2,1,hemat,0,0,44
264,2,0,rakus,0,0,50
264,2,1,baja,30,1,50
265,2,0,perisai,0,0.5,53
265,2,1,hemat,0,0.5,53
266,2,0,rakus,10,1,48
266,2,1,baja,0,0,48
267,2,0,baja,0,0.5,42
267,2,1,pendingin,0,0.5,42
268,2,0,kompor,25,1,56
268,2,1,hemat,0,0,56
269,2,0,rakus,0,0,43
269,2,1,pendingin,9,1,43
270,2,0,pendingin,5,0,47
270,2,1,baja,17,1,47
271,2,0,perisai,5,0,52
271,2,1,kompor,115,1,52
272,2,0,baja,5,0.5,47
272,2,1,pendingin,5,0.5,47
273,2,0,pendingin,0,0,39
273,2,1,perisai,5,1,39
274,2,0,rakus,0,0,44
274,2,1,perisai,10,1,44
275,2,0,hemat,0,0.5,51
275,2,1,rakus,0,0.5,51
276,2,0,hemat,92,1,63
276,2,1,kompor,0,0,63
277,2,0,kompor,10,1,34
277,2,1,perisai,9,0,34
278,2,0,rakus,53,1,38
278,2,1,pendingin,5,0,38
279,2,0,baja,22,1,41
279,2,1,pendingin,0,0,41
280,2,0,rakus,0,0,47
280,2,1,perisai,5,1,47
281,2,0,perisai,10,1,41
281,2,1,kompor,0,0,41
282,2,0,baja,30,1,44
282,2,1,rakus,9,0,44
283,2,0,kompor,5,1,44
283,2,1,perisai,0,0,44
284,2,0,perisai,9,0,43
284,2,1,hemat,10,1,43
285,2,0,perisai,5,0,43
285,2,1,pendingin,14,1,43
286,2,0,perisai,69,1,62
286,2,1,hemat,0,0,62
287,2,0,pendingin,0,0,38
287,2,1,perisai,5,1,38
288,2,0,pendingin,10,1,43
288,2,1,rakus,5,0,43
289,2,0,kompor,0,0,33
289,2,1,rakus,9,1,33
290,2,0,perisai,0,0.5,39
290,2,1,rakus,0,0.5,39
291,2,0,hemat,50,1,61
291,2,1,kompor,12,0,61
292,2,0,kompor,0,0,42
292,2,1,pendingin,10,1,42
293,2,0,baja,0,0.5,43
293,2,1,pendingin,0,0.5,43
294,2,0,perisai,14,1,45
294,2,1,kompor,5,0,45
295,2,0,perisai,10,0,39
295,2,1,rakus,77,1,39
296,2,0,perisai,0,0.5,55
296,2,1,hemat,0,0.5,55
297,2,0,pendingin,0,0,43
297,2,1,baja,17,1,43
298,2,0,rakus,0,0,43
298,2,1,hemat,9,1,43
299,2,0,perisai,10,0,44
299,2,1,baja,22,1,44
300,2,0,pendingin,0,0.5,41
300,2,1,kompor,0,0.5,41
301,2,0,kompor,5,1,43
301,2,1,perisai,0,0,43
302,2,0,perisai,0,0,55
302,2,1,hemat,5,1,55
303,2,0,perisai,6,1,47
303,2,1,baja,0,0,47
304,2,0,baja,0,0.5,52
304,2,1,kompor,0,0.5,52
305,2,0,kompor,5,1,47
305,2,1,baja,0,0,47
306,2,0,rakus,5,0,40
306,2,1,baja,33,1,40
307,2,0,perisai,10,0.5,39
307,2,1,rakus,10,0.5,39
308,2,0,kompor,10,0,47
308,2,1,baja,16,1,47
309,2,0,hemat,0,0.5,58
309,2,1,pendingin,0,0.5,58
310,2,0,kompor,0,0,42
310,2,1,pendingin,5,1,42
311,2,0,kompor,87,1,40
311,2,1,perisai,10,0,40
312,2,0,rakus,42,1,43
312,2,1,baja,9,0,43
313,2,0,baja,20,1,51
313,2,1,hemat,5,0,51
314,2,0,baja,1,0,50
314,2,1,rakus,136,1,50
315,2,0,rakus,7,0,49
315,2,1,kompor,115,1,49
316,2,0,pendingin,0,0,39
316,2,1,rakus,66,1,39
317,2,0,pendingin,0,0.5,41
317,2,1,kompor,0,0.5,41
318,2,0,hemat,0,0,53
318,2,1,kompor,5,1,53
319,2,0,baja,7,1,46
319,2,1,hemat,0,0,46
320,2,0,hemat,5,0,51
320,2,1,rakus,10,1,51
321,2,0,pendingin,5,0.5,50
321,2,1,hemat,5,0.5,50
322,2,0,rakus,8,0,41
322,2,1,kompor,77,1,41
323,2,0,pendingin,0,0.5,46
323,2,1,baja,0,0.5,46
324,2,0,rakus,9,0,38
324,2,1,kompor,10,1,38
325,2,0,hemat,5,0.5,48
325,2,1,kompor,5,0.5,48
326,2,0,rakus,10,0,35
326,2,1,perisai,14,1,35
327,2,0,hemat,5,0,47
327,2,1,rakus,117,1,47
328,2,0,hemat,5,0,60
328,2,1,kompor,118,1,60
329,2,0,pendingin,5,0.5,36
329,2,1,rakus,5,0.5,36
330,2,0,pendingin,0,0.5,41
330,2,1,baja,0,0.5,41
331,2,0,rakus,0,0.5,45
331,2,1,perisai,0,0.5,45
332,2,0,pendingin,0,0.5,53
332,2,1,hemat,0,0.5,53
333,2,0,perisai,0,0.5,47
333,2,1,hemat,0,0.5,47
334,2,0,baja,13,1,53
334,2,1,hemat,2,0,53
335,2,0,perisai,0,0,41
335,2,1,kompor,5,1,41
336,2,0,kompor,0,0,53
336,2,1,perisai,111,1,53
337,2,0,kompor,5,1,46
337,2,1,hemat,0,0,46
